deviceid,_c1
,"5461b39560b211be7788c3be,547571ef60b262405927239b,547571cf60b262405927230e,547571a160b262405927223d"
0,"5461b39560b211be7788c3be,547571a160b262405927223d"
00000000000000,547571cf60b262405927230e
000000000000000,"547571ef60b262405927239b,547571cf60b262405927230e"
004402450558980,547571cf60b262405927230e
004999010640000,"5461b39560b211be7788c3be,547571ef60b262405927239b,547571cf60b262405927230e"
012198007812439,547571cf60b262405927230e
012345678912345,"547571ef60b262405927239b,547571a160b262405927223d"
012571001388715,547571a160b262405927223d
012571001440045,"547571ef60b262405927239b,547571a160b262405927223d"
012764000348042,"547571ef60b262405927239b,547571a160b262405927223d"
012827000282675,547571a160b262405927223d
012864000694468,547571cf60b262405927230e
012864001922124,547571cf60b262405927230e
012864003834970,5461b39560b211be7788c3be
012864003850448,"547571ef60b262405927239b,547571a160b262405927223d"
012864005083394,547571cf60b262405927230e
012864006249911,547571cf60b262405927230e
012917002076207,547571cf60b262405927230e
013222000175666,547571a160b262405927223d
013233000590143,"547571ef60b262405927239b,547571a160b262405927223d"
013233000593170,547571a160b262405927223d
013233002070169,547570f360b26f6ceaf8f69e
013287000193977,547571cf60b262405927230e
013287001200300,547571cf60b262405927230e
013291000094896,547571a160b262405927223d
013306000423133,547571a160b262405927223d
013306002205561,547571ef60b262405927239b
013306002296073,5406b40e60b20f5c5abb512b
013306004268021,5461b39560b211be7788c3be
013306007293679,547571a160b262405927223d
013306007627504,547571ef60b262405927239b
013306008304764,547571a160b262405927223d
013306008812485,547571a160b262405927223d
013306009200466,547571a160b262405927223d
013341001718314,547571cf60b262405927230e
013459003586693,547571ef60b262405927239b
013460001484949,547571cf60b262405927230e
013461002500352,547571cf60b262405927230e
013488000780603,547571cf60b262405927230e
013488002032565,547571a160b262405927223d
013495006959420,547571a160b262405927223d
013495007004382,"5461b39560b211be7788c3be,547571a160b262405927223d"
013495008078849,547571a160b262405927223d
013495008677988,547571cf60b262405927230e
013497001512477,547571a160b262405927223d
013510003155879,547571a160b262405927223d
013511002755115,547571cf60b262405927230e
013511004001534,547571cf60b262405927230e
013511004920725,547571cf60b262405927230e
013511005653754,547571cf60b262405927230e
013511006260880,547571cf60b262405927230e
013511007363972,547571cf60b262405927230e
013520000797995,547571a160b262405927223d
013520001072133,547571a160b262405927223d
013520001136359,5461b39560b211be7788c3be
013520001363359,547571ef60b262405927239b
013520002662577,547571a160b262405927223d
013520003898345,"547571ef60b262405927239b,5406b40e60b20f5c5abb512b"
013520004058261,"5461b39560b211be7788c3be,547571cf60b262405927230e"
013520004439719,5406b40e60b20f5c5abb512b
013520004702033,547571cf60b262405927230e
013520004909968,547571a160b262405927223d
013520005107083,5461b39560b211be7788c3be
013520005259132,5461b39560b211be7788c3be
013647000074479,547571a160b262405927223d
013647000543390,547571a160b262405927223d
013647004324573,547571a160b262405927223d
013647004479773,"547571ef60b262405927239b,547571a160b262405927223d"
013647004512409,547571a160b262405927223d
013647005610038,5461b39560b211be7788c3be
013647005622900,5406b40e60b20f5c5abb512b
013647006981453,"5461b39560b211be7788c3be,547571a160b262405927223d"
013647007323770,547571cf60b262405927230e
013647007636171,547571a160b262405927223d
013657003067362,547571ef60b262405927239b
013657003070747,547571a160b262405927223d
013658001041482,547571a160b262405927223d
013658001184381,547571cf60b262405927230e
013658003033412,5461b39560b211be7788c3be
013658003121142,547571ef60b262405927239b
013687000253327,547571ef60b262405927239b
013687001512929,"547571cf60b262405927230e,547571a160b262405927223d"
013687002887825,5461b39560b211be7788c3be
013687003348165,547571a160b262405927223d
013687003771309,5406b40e60b20f5c5abb512b
013687004099494,5461b39560b211be7788c3be
013695003316249,5461b39560b211be7788c3be
013695003368877,5461b39560b211be7788c3be
013695003409598,5461b39560b211be7788c3be
013695003522689,547571ef60b262405927239b
013695003904788,547571cf60b262405927230e
013695004073757,547571a160b262405927223d
013703000202006,547571a160b262405927223d
013703000682918,5461b39560b211be7788c3be
013703000782726,547571cf60b262405927230e
013703001527260,547571ef60b262405927239b
013703001621824,547571ef60b262405927239b
013703001689466,547571a160b262405927223d
013703001819741,547571cf60b262405927230e
013755001692742,5461b39560b211be7788c3be
013755001773542,547571cf60b262405927230e
013755002180101,547571ef60b262405927239b
013755002222663,547571a160b262405927223d
013755002703530,547571a160b262405927223d
013758000739183,5465d8b260b265eac9eca048
013758000869303,5469c01360b24450cc2205f4
013758001525961,547571cf60b262405927230e
013758001527496,547571a160b262405927223d
013758002446621,5461b39560b211be7788c3be
013758002542023,547571cf60b262405927230e
013758002807384,547571a160b262405927223d
013758003462627,547571ef60b262405927239b
013758005325715,547571cf60b262405927230e
013758005695885,5461b39560b211be7788c3be
013758006390114,"547571ef60b262405927239b,547571a160b262405927223d"
013758006771503,547571a160b262405927223d
013758006850844,547571a160b262405927223d
013758008087403,547571cf60b262405927230e
013758008144402,547571a160b262405927223d
013758008176719,547571a160b262405927223d
013758008755595,5461b39560b211be7788c3be
013758009416999,547571a160b262405927223d
013758009889146,5461b39560b211be7788c3be
013758009927979,5406b40e60b20f5c5abb512b
013763000973659,547571a160b262405927223d
013763001236296,547571a160b262405927223d
013763003680616,547571a160b262405927223d
013763004998678,547571a160b262405927223d
013763005084940,"547571cf60b262405927230e,547571a160b262405927223d"
013763005581531,5461b39560b211be7788c3be
013763006116378,547571a160b262405927223d
013763006268484,547571a160b262405927223d
013763006275588,547571a160b262405927223d
013763006461030,5406b40e60b20f5c5abb512b
013763007084369,547571a160b262405927223d
013763007143983,547571cf60b262405927230e
